Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-03-20,Ford,Illinois,0,0,US
2020-03-21,Ford,Illinois,0,0,US
2020-03-22,Ford,Illinois,0,0,US
2020-03-23,Ford,Illinois,0,0,US
2020-03-24,Ford,Illinois,0,0,US
2020-03-25,Ford,Illinois,0,0,US
2020-03-26,Ford,Illinois,0,0,US
2020-03-27,Ford,Illinois,0,0,US
2020-03-28,Ford,Illinois,0,0,US
2020-03-29,Ford,Illinois,0,0,US
2020-03-30,Ford,Illinois,0,0,US
2020-03-31,Ford,Illinois,1,0,US
2020-04-01,Ford,Illinois,1,0,US
2020-04-02,Ford,Illinois,1,0,US
2020-04-03,Ford,Illinois,1,0,US
2020-04-04,Ford,Illinois,1,0,US
2020-04-05,Ford,Illinois,1,0,US
2020-04-06,Ford,Illinois,1,0,US
2020-04-07,Ford,Illinois,5,1,US
2020-04-08,Ford,Illinois,3,1,US
2020-04-09,Ford,Illinois,3,1,US
2020-04-10,Ford,Illinois,4,1,US
2020-04-11,Ford,Illinois,4,1,US
2020-04-12,Ford,Illinois,4,1,US
2020-04-13,Ford,Illinois,4,1,US
2020-04-14,Ford,Illinois,4,1,US
2020-04-15,Ford,Illinois,4,1,US
2020-04-16,Ford,Illinois,4,1,US
2020-04-17,Ford,Illinois,4,1,US
2020-04-18,Ford,Illinois,5,1,US
2020-04-19,Ford,Illinois,5,1,US
2020-04-20,Ford,Illinois,6,1,US
2020-04-21,Ford,Illinois,6,1,US
2020-04-22,Ford,Illinois,6,1,US
2020-04-23,Ford,Illinois,8,1,US
2020-04-24,Ford,Illinois,7,1,US
2020-04-25,Ford,Illinois,8,1,US
2020-04-26,Ford,Illinois,8,1,US
2020-04-27,Ford,Illinois,8,1,US
2020-04-28,Ford,Illinois,8,1,US
2020-04-29,Ford,Illinois,10,1,US
2020-04-30,Ford,Illinois,9,1,US
2020-05-01,Ford,Illinois,9,1,US
2020-05-02,Ford,Illinois,9,1,US
2020-05-03,Ford,Illinois,9,1,US
2020-05-04,Ford,Illinois,9,1,US
2020-05-05,Ford,Illinois,11,1,US
2020-05-06,Ford,Illinois,11,1,US
2020-05-07,Ford,Illinois,12,1,US
2020-05-08,Ford,Illinois,12,1,US
2020-05-09,Ford,Illinois,13,1,US
2020-05-10,Ford,Illinois,14,1,US
2020-05-11,Ford,Illinois,14,1,US
2020-05-12,Ford,Illinois,14,1,US
2020-05-13,Ford,Illinois,14,1,US
2020-05-14,Ford,Illinois,15,1,US
2020-05-15,Ford,Illinois,16,1,US
2020-05-16,Ford,Illinois,17,1,US
2020-05-17,Ford,Illinois,17,1,US
2020-05-18,Ford,Illinois,18,1,US
2020-05-19,Ford,Illinois,18,1,US
2020-05-20,Ford,Illinois,18,1,US
2020-05-21,Ford,Illinois,18,1,US
2020-05-22,Ford,Illinois,19,1,US
2020-05-23,Ford,Illinois,19,1,US
2020-05-24,Ford,Illinois,20,1,US
2020-05-25,Ford,Illinois,20,1,US
2020-05-26,Ford,Illinois,20,1,US
2020-05-27,Ford,Illinois,20,1,US
2020-05-28,Ford,Illinois,20,1,US
2020-05-29,Ford,Illinois,20,1,US
2020-05-30,Ford,Illinois,20,1,US
2020-05-31,Ford,Illinois,20,1,US
2020-06-01,Ford,Illinois,20,1,US
2020-06-02,Ford,Illinois,20,1,US
2020-06-03,Ford,Illinois,20,1,US
2020-06-04,Ford,Illinois,20,1,US
2020-06-05,Ford,Illinois,21,1,US
2020-06-06,Ford,Illinois,21,1,US
2020-06-07,Ford,Illinois,21,1,US
2020-06-08,Ford,Illinois,21,1,US
2020-06-09,Ford,Illinois,21,1,US
2020-06-10,Ford,Illinois,22,1,US
2020-06-11,Ford,Illinois,22,1,US
2020-06-12,Ford,Illinois,21,1,US
2020-06-13,Ford,Illinois,22,1,US
2020-06-14,Ford,Illinois,22,1,US
2020-06-15,Ford,Illinois,22,1,US
2020-06-16,Ford,Illinois,22,1,US
2020-06-17,Ford,Illinois,22,1,US
2020-06-18,Ford,Illinois,22,1,US
2020-06-19,Ford,Illinois,22,1,US
2020-06-20,Ford,Illinois,22,1,US
2020-06-21,Ford,Illinois,22,1,US
2020-06-22,Ford,Illinois,25,1,US
2020-06-23,Ford,Illinois,26,1,US
2020-06-24,Ford,Illinois,26,1,US
2020-06-25,Ford,Illinois,26,1,US
2020-06-26,Ford,Illinois,27,1,US
2020-06-27,Ford,Illinois,30,1,US
2020-06-28,Ford,Illinois,30,1,US
2020-06-29,Ford,Illinois,31,1,US
2020-06-30,Ford,Illinois,31,1,US
2020-07-01,Ford,Illinois,33,1,US
2020-07-02,Ford,Illinois,34,1,US
2020-07-03,Ford,Illinois,37,1,US
2020-07-04,Ford,Illinois,37,1,US
2020-07-05,Ford,Illinois,38,1,US
2020-07-06,Ford,Illinois,40,1,US
2020-07-07,Ford,Illinois,40,1,US
2020-07-08,Ford,Illinois,41,1,US
2020-07-09,Ford,Illinois,42,1,US
2020-07-10,Ford,Illinois,42,1,US
2020-07-11,Ford,Illinois,42,1,US
2020-07-12,Ford,Illinois,42,1,US
2020-07-13,Ford,Illinois,42,1,US
2020-07-14,Ford,Illinois,42,1,US
2020-07-15,Ford,Illinois,42,1,US
2020-07-16,Ford,Illinois,32,1,US
2020-07-17,Ford,Illinois,32,1,US
2020-07-18,Ford,Illinois,32,1,US
2020-07-19,Ford,Illinois,32,1,US
2020-07-20,Ford,Illinois,33,1,US
2020-07-21,Ford,Illinois,33,1,US
2020-07-22,Ford,Illinois,33,1,US
2020-07-23,Ford,Illinois,35,1,US
2020-07-24,Ford,Illinois,36,1,US
2020-07-25,Ford,Illinois,36,1,US
2020-07-26,Ford,Illinois,37,1,US
2020-07-27,Ford,Illinois,37,1,US
2020-07-28,Ford,Illinois,38,1,US
2020-07-29,Ford,Illinois,38,1,US
2020-07-30,Ford,Illinois,38,1,US
2020-07-31,Ford,Illinois,38,1,US
2020-08-01,Ford,Illinois,39,1,US
2020-08-02,Ford,Illinois,41,1,US
2020-08-03,Ford,Illinois,41,1,US
2020-08-04,Ford,Illinois,42,1,US
2020-08-05,Ford,Illinois,45,1,US
2020-08-06,Ford,Illinois,51,1,US
2020-08-07,Ford,Illinois,49,2,US
2020-08-08,Ford,Illinois,49,2,US
2020-08-09,Ford,Illinois,49,2,US
2020-08-10,Ford,Illinois,49,2,US
2020-08-11,Ford,Illinois,50,2,US
2020-08-12,Ford,Illinois,50,2,US
2020-08-13,Ford,Illinois,52,2,US
2020-08-14,Ford,Illinois,57,2,US
2020-08-15,Ford,Illinois,57,2,US
2020-08-16,Ford,Illinois,60,2,US
2020-08-17,Ford,Illinois,60,2,US
2020-08-18,Ford,Illinois,61,2,US
2020-08-19,Ford,Illinois,62,2,US
2020-08-20,Ford,Illinois,63,2,US
2020-08-21,Ford,Illinois,68,2,US
2020-08-22,Ford,Illinois,69,2,US
2020-08-23,Ford,Illinois,70,2,US
2020-08-24,Ford,Illinois,70,2,US
2020-08-25,Ford,Illinois,68,2,US
2020-08-26,Ford,Illinois,69,2,US
2020-08-27,Ford,Illinois,69,2,US
2020-08-28,Ford,Illinois,70,2,US
2020-08-29,Ford,Illinois,71,2,US
2020-08-30,Ford,Illinois,70,2,US
2020-08-31,Ford,Illinois,70,2,US
2020-09-01,Ford,Illinois,71,2,US
2020-09-02,Ford,Illinois,72,3,US
2020-09-03,Ford,Illinois,74,3,US
2020-09-04,Ford,Illinois,77,3,US
