Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-04-17,McCracken,Kentucky,27,2,US
2020-04-18,McCracken,Kentucky,29,2,US
2020-04-19,McCracken,Kentucky,29,2,US
2020-04-20,McCracken,Kentucky,29,2,US
2020-04-21,McCracken,Kentucky,30,2,US
2020-04-22,McCracken,Kentucky,30,2,US
2020-04-23,McCracken,Kentucky,30,2,US
2020-04-24,McCracken,Kentucky,31,2,US
2020-04-25,McCracken,Kentucky,34,2,US
2020-04-26,McCracken,Kentucky,43,2,US
2020-04-27,McCracken,Kentucky,44,2,US
2020-04-28,McCracken,Kentucky,48,2,US
2020-04-29,McCracken,Kentucky,48,2,US
2020-04-30,McCracken,Kentucky,55,2,US
2020-05-01,McCracken,Kentucky,58,2,US
2020-05-02,McCracken,Kentucky,58,2,US
2020-05-03,McCracken,Kentucky,59,2,US
2020-05-04,McCracken,Kentucky,62,2,US
2020-05-05,McCracken,Kentucky,63,2,US
2020-05-06,McCracken,Kentucky,65,2,US
2020-05-07,McCracken,Kentucky,68,2,US
2020-05-08,McCracken,Kentucky,68,2,US
2020-05-09,McCracken,Kentucky,69,2,US
2020-05-10,McCracken,Kentucky,69,2,US
2020-05-11,McCracken,Kentucky,72,2,US
2020-05-12,McCracken,Kentucky,73,2,US
2020-05-13,McCracken,Kentucky,73,2,US
2020-05-14,McCracken,Kentucky,76,2,US
2020-05-15,McCracken,Kentucky,80,2,US
2020-05-16,McCracken,Kentucky,81,2,US
2020-05-17,McCracken,Kentucky,81,2,US
2020-05-18,McCracken,Kentucky,85,2,US
2020-05-19,McCracken,Kentucky,85,2,US
2020-05-20,McCracken,Kentucky,85,2,US
2020-05-21,McCracken,Kentucky,85,2,US
2020-05-22,McCracken,Kentucky,85,2,US
2020-05-23,McCracken,Kentucky,87,2,US
2020-05-24,McCracken,Kentucky,87,2,US
2020-05-25,McCracken,Kentucky,87,2,US
2020-05-26,McCracken,Kentucky,89,2,US
2020-05-27,McCracken,Kentucky,89,2,US
2020-05-28,McCracken,Kentucky,95,2,US
2020-05-29,McCracken,Kentucky,95,2,US
2020-05-30,McCracken,Kentucky,95,2,US
2020-05-31,McCracken,Kentucky,95,2,US
2020-06-01,McCracken,Kentucky,97,2,US
2020-06-02,McCracken,Kentucky,97,2,US
2020-06-03,McCracken,Kentucky,99,2,US
2020-06-04,McCracken,Kentucky,107,2,US
2020-06-05,McCracken,Kentucky,111,2,US
2020-06-06,McCracken,Kentucky,112,2,US
2020-06-07,McCracken,Kentucky,112,2,US
2020-06-08,McCracken,Kentucky,112,2,US
2020-06-09,McCracken,Kentucky,113,3,US
2020-06-10,McCracken,Kentucky,113,3,US
2020-06-11,McCracken,Kentucky,113,3,US
2020-06-12,McCracken,Kentucky,116,3,US
2020-06-13,McCracken,Kentucky,117,3,US
2020-06-14,McCracken,Kentucky,117,3,US
2020-06-15,McCracken,Kentucky,123,3,US
2020-06-16,McCracken,Kentucky,123,3,US
2020-06-17,McCracken,Kentucky,126,3,US
2020-06-18,McCracken,Kentucky,129,3,US
2020-06-19,McCracken,Kentucky,134,3,US
2020-06-20,McCracken,Kentucky,134,3,US
2020-06-21,McCracken,Kentucky,143,3,US
2020-06-22,McCracken,Kentucky,148,3,US
2020-06-23,McCracken,Kentucky,149,3,US
2020-06-24,McCracken,Kentucky,150,3,US
2020-06-25,McCracken,Kentucky,151,3,US
2020-06-26,McCracken,Kentucky,153,3,US
2020-06-27,McCracken,Kentucky,155,3,US
2020-06-28,McCracken,Kentucky,159,3,US
2020-06-29,McCracken,Kentucky,161,3,US
2020-06-30,McCracken,Kentucky,166,3,US
2020-07-01,McCracken,Kentucky,168,3,US
2020-07-02,McCracken,Kentucky,170,3,US
2020-07-03,McCracken,Kentucky,172,3,US
2020-07-04,McCracken,Kentucky,172,3,US
2020-07-05,McCracken,Kentucky,172,3,US
2020-07-06,McCracken,Kentucky,178,3,US
2020-07-07,McCracken,Kentucky,181,3,US
2020-07-08,McCracken,Kentucky,181,3,US
2020-07-09,McCracken,Kentucky,184,3,US
2020-07-10,McCracken,Kentucky,192,3,US
2020-07-11,McCracken,Kentucky,193,3,US
2020-07-12,McCracken,Kentucky,203,3,US
2020-07-13,McCracken,Kentucky,206,3,US
2020-07-14,McCracken,Kentucky,210,3,US
2020-07-15,McCracken,Kentucky,215,3,US
2020-07-16,McCracken,Kentucky,222,3,US
2020-07-17,McCracken,Kentucky,227,3,US
2020-07-18,McCracken,Kentucky,226,3,US
2020-07-19,McCracken,Kentucky,243,3,US
2020-07-20,McCracken,Kentucky,245,3,US
2020-07-21,McCracken,Kentucky,259,3,US
2020-07-22,McCracken,Kentucky,267,3,US
2020-07-23,McCracken,Kentucky,270,3,US
2020-07-24,McCracken,Kentucky,284,3,US
2020-07-25,McCracken,Kentucky,292,3,US
2020-07-26,McCracken,Kentucky,294,3,US
2020-07-27,McCracken,Kentucky,296,3,US
2020-07-28,McCracken,Kentucky,303,3,US
2020-07-29,McCracken,Kentucky,306,4,US
2020-07-30,McCracken,Kentucky,313,4,US
2020-07-31,McCracken,Kentucky,325,4,US
2020-08-01,McCracken,Kentucky,328,4,US
2020-08-02,McCracken,Kentucky,330,4,US
2020-08-03,McCracken,Kentucky,334,4,US
2020-08-04,McCracken,Kentucky,344,4,US
2020-08-05,McCracken,Kentucky,348,4,US
2020-08-06,McCracken,Kentucky,355,4,US
2020-08-07,McCracken,Kentucky,365,4,US
2020-08-08,McCracken,Kentucky,366,4,US
2020-08-09,McCracken,Kentucky,366,4,US
2020-08-10,McCracken,Kentucky,367,4,US
2020-08-11,McCracken,Kentucky,372,4,US
2020-08-12,McCracken,Kentucky,377,4,US
2020-08-13,McCracken,Kentucky,391,4,US
2020-08-14,McCracken,Kentucky,397,4,US
2020-08-15,McCracken,Kentucky,401,5,US
2020-08-16,McCracken,Kentucky,401,5,US
2020-08-17,McCracken,Kentucky,409,5,US
2020-08-18,McCracken,Kentucky,414,5,US
2020-08-19,McCracken,Kentucky,425,5,US
2020-08-20,McCracken,Kentucky,437,5,US
2020-08-21,McCracken,Kentucky,445,5,US
2020-08-22,McCracken,Kentucky,453,5,US
2020-08-23,McCracken,Kentucky,453,5,US
2020-08-24,McCracken,Kentucky,460,5,US
2020-08-25,McCracken,Kentucky,469,5,US
2020-08-26,McCracken,Kentucky,472,5,US
2020-08-27,McCracken,Kentucky,479,6,US
2020-08-28,McCracken,Kentucky,486,6,US
2020-08-29,McCracken,Kentucky,497,6,US
2020-08-30,McCracken,Kentucky,504,6,US
2020-08-31,McCracken,Kentucky,510,6,US
2020-09-01,McCracken,Kentucky,516,6,US
2020-09-02,McCracken,Kentucky,525,6,US
2020-09-03,McCracken,Kentucky,536,6,US
2020-09-04,McCracken,Kentucky,545,6,US
2020-09-05,McCracken,Kentucky,554,6,US
2020-09-06,McCracken,Kentucky,561,6,US
2020-09-07,McCracken,Kentucky,562,6,US
2020-09-08,McCracken,Kentucky,564,6,US
2020-09-09,McCracken,Kentucky,572,6,US
2020-09-10,McCracken,Kentucky,579,6,US
2020-09-11,McCracken,Kentucky,594,6,US
2020-09-12,McCracken,Kentucky,600,6,US
2020-09-13,McCracken,Kentucky,611,6,US
2020-09-14,McCracken,Kentucky,618,6,US
2020-09-15,McCracken,Kentucky,633,6,US
2020-09-16,McCracken,Kentucky,646,6,US
2020-09-17,McCracken,Kentucky,661,6,US
2020-09-18,McCracken,Kentucky,668,6,US
2020-09-19,McCracken,Kentucky,682,6,US
2020-09-20,McCracken,Kentucky,682,6,US
2020-09-21,McCracken,Kentucky,691,6,US
2020-09-22,McCracken,Kentucky,696,9,US
2020-09-23,McCracken,Kentucky,698,9,US
2020-09-24,McCracken,Kentucky,701,9,US
2020-09-25,McCracken,Kentucky,714,10,US
2020-09-26,McCracken,Kentucky,725,10,US
2020-09-27,McCracken,Kentucky,734,10,US
2020-09-28,McCracken,Kentucky,746,10,US
2020-09-29,McCracken,Kentucky,746,10,US
2020-09-30,McCracken,Kentucky,755,10,US
2020-10-01,McCracken,Kentucky,777,10,US
2020-10-02,McCracken,Kentucky,777,10,US
2020-10-03,McCracken,Kentucky,779,10,US
2020-10-04,McCracken,Kentucky,793,10,US
2020-10-05,McCracken,Kentucky,800,10,US
2020-10-06,McCracken,Kentucky,806,10,US
2020-10-07,McCracken,Kentucky,813,10,US
2020-10-08,McCracken,Kentucky,823,10,US
2020-10-09,McCracken,Kentucky,835,11,US
2020-10-10,McCracken,Kentucky,852,11,US
2020-10-11,McCracken,Kentucky,872,11,US
2020-10-12,McCracken,Kentucky,881,11,US
2020-10-13,McCracken,Kentucky,879,11,US
2020-10-14,McCracken,Kentucky,899,11,US
2020-10-15,McCracken,Kentucky,925,11,US
2020-10-16,McCracken,Kentucky,943,11,US
2020-10-17,McCracken,Kentucky,954,11,US
2020-10-18,McCracken,Kentucky,968,11,US
2020-10-19,McCracken,Kentucky,976,11,US
2020-10-20,McCracken,Kentucky,977,11,US
2020-10-21,McCracken,Kentucky,994,11,US
2020-10-22,McCracken,Kentucky,1008,12,US
2020-10-23,McCracken,Kentucky,1031,12,US
2020-10-24,McCracken,Kentucky,1070,12,US
2020-10-25,McCracken,Kentucky,1097,12,US
2020-10-26,McCracken,Kentucky,1114,12,US
2020-10-27,McCracken,Kentucky,1130,12,US
2020-10-28,McCracken,Kentucky,1150,12,US
2020-10-29,McCracken,Kentucky,1187,12,US
2020-10-30,McCracken,Kentucky,1213,12,US
2020-10-31,McCracken,Kentucky,1252,12,US
2020-11-01,McCracken,Kentucky,1299,12,US
2020-11-02,McCracken,Kentucky,1328,12,US
2020-11-03,McCracken,Kentucky,1346,12,US
2020-11-04,McCracken,Kentucky,1402,12,US
2020-11-05,McCracken,Kentucky,1423,12,US
2020-11-06,McCracken,Kentucky,1471,12,US
2020-11-07,McCracken,Kentucky,1516,12,US
2020-11-08,McCracken,Kentucky,1551,12,US
2020-11-09,McCracken,Kentucky,1601,12,US
